,state,inmate_tests,total_inmate_cases,total_inmate_deaths,latest_inmate_population,max_inmate_population_2020,total_officer_cases,total_officer_deaths
0,alabama,15505.0,1601,64,19144.0,21900.0,1019.0,3.0
1,alaska,27756.0,2428,5,5011.0,5143.0,85.0,0.0
2,arizona,43652.0,12229,44,38248.0,41674.0,2739.0,0.0
3,arkansas,0.0,11378,52,14729.0,15886.0,424.0,5.0
4,california,121207.0,49511,217,110471.0,117767.0,16090.0,26.0
5,colorado,193165.0,9389,33,13346.0,16134.0,1834.0,0.0
6,connecticut,73559.0,4655,19,8839.0,10500.0,1571.0,0.0
7,delaware,12665.0,2020,13,4562.0,4562.0,514.0,1.0
8,florida,87677.0,18491,220,83622.0,96253.0,6097.0,7.0
9,georgia,11947.0,3717,94,47585.0,52000.0,1698.0,4.0
10,hawaii,7791.0,1432,9,2229.0,4111.0,99.0,0.0
11,idaho,29168.0,4115,6,7240.0,7240.0,387.0,0.0
12,illinois,477218.0,10894,86,30771.0,36910.0,4383.0,0.0
13,indiana,20228.0,3563,39,25476.0,26877.0,1571.0,4.0
14,iowa,44262.0,4935,19,7399.0,8519.0,806.0,2.0
15,kansas,43391.0,6202,16,8846.0,9986.0,1280.0,6.0
16,kentucky,26433.0,7898,48,9969.0,11563.0,1084.0,5.0
17,louisiana,14745.0,3195,37,13885.0,31609.0,925.0,6.0
18,maine,8246.0,169,1,1742.0,2370.0,45.0,0.0
19,maryland,65158.0,4083,28,20269.0,21632.0,2168.0,3.0
20,massachusetts,29016.0,3018,20,6633.0,8292.0,629.0,0.0
21,michigan,673822.0,26243,139,34056.0,34407.0,3763.0,3.0
22,minnesota,105390.0,4042,12,7525.0,9381.0,967.0,0.0
23,mississippi,3433.0,1470,24,16351.0,18450.0,220.0,0.0
24,missouri,92520.0,5705,48,23421.0,32564.0,2709.0,6.0
25,montana,0.0,1148,6,3921.0,3921.0,279.0,0.0
26,nebraska,6776.0,982,6,5294.0,5603.0,511.0,0.0
27,nevada,12368.0,4714,53,0.0,12785.0,1018.0,3.0
28,new hampshire,1583.0,453,3,2077.0,2466.0,155.0,0.0
29,new jersey,251841.0,4684,53,15046.0,15283.0,2121.0,3.0
30,new mexico,44368.0,3124,29,5983.0,5983.0,895.0,1.0
31,new york,73607.0,6334,35,40500.0,40500.0,4976.0,8.0
32,north carolina,124617.0,10066,53,30699.0,32300.0,2186.0,1.0
33,north dakota,32531.0,639,1,1370.0,1794.0,296.0,1.0
34,ohio,56275.0,8679,139,44599.0,47529.0,4783.0,11.0
35,oklahoma,30802.0,7392,38,20484.0,20484.0,1043.0,2.0
36,oregon,24852.0,3617,42,13577.0,14351.0,857.0,0.0
37,pennsylvania,60831.0,10191,123,39725.0,42775.0,4090.0,5.0
38,rhode island,41623.0,1194,2,2085.0,2210.0,322.0,1.0
39,south carolina,9921.0,3254,40,15865.0,17003.0,953.0,2.0
40,south dakota,7954.0,2355,7,3217.0,3859.0,190.0,0.0
41,tennessee,40445.0,6637,42,19401.0,20733.0,1182.0,2.0
42,texas,479959.0,34735,206,127814.0,162000.0,11895.0,44.0
43,utah,27053.0,3443,16,6266.0,6266.0,399.0,0.0
44,vermont,19838.0,456,0,1368.0,1397.0,89.0,0.0
45,virginia,99317.0,9056,56,26489.0,29136.0,2466.0,5.0
46,washington,11022.0,6190,14,14817.0,15364.0,1026.0,2.0
47,west virginia,10778.0,1576,9,9905.0,9905.0,578.0,2.0
48,wisconsin,97445.0,10939,26,20210.0,20212.0,2129.0,0.0
49,wyoming,28376.0,879,3,1840.0,2040.0,296.0,0.0
50,federal prisons,119449.0,53996,246,138297.0,,6746.0,4.0
51,ice detention centers,101214.0,10845,9,,,53.0,0.0
52,county jails,460887.0,108082,113,,,33421.0,82.0
53,u.s. marshalls,,12290,31,,,,
