state,abbreviation,staff_tests,staff_tests_with_multiples,total_staff_cases,staff_recovered,total_staff_deaths,staff_partial_dose,staff_full_dose,prisoner_tests,prisoner_tests_with_multiples,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,prisoners_partial_dose,prisoners_full_dose,as_of_date,notes
alabama,AL,,,1058,1048,3,871,,,16743,1662,1595,66,10811,,06/25/2021,
alaska,AK,,,332,,0,,,,38707,2440,,5,3460,3097,06/22/2021,vaccines as of June 23
arizona,AZ,,,2787,2778,,,,47899,,12328,12251,65,,,06/22/2021,
arkansas,AR,,,,,4,,,,,11425,11353,52,,,06/23/2021,"We have been told vaccinations have begun in this system, but they have not released numbers of people vaccinated for this week. "
california,CA,,,,,,35295,33474,129415,1602906,49395,48517,227,71317,69400,06/22/2021,
colorado,CO,,,1959,,0,3633,,20775,232231,8960,,29,10661,,06/23/2021,
connecticut,CT,,88079,1690,1690,0,2697,,,143190,4549,4524,19,4828,,06/22/2021,
delaware,DE,,,770,770,,1303,1130,,15841,,,13,2668,2058,06/22/2021,
florida,FL,,,,,,,,,,,,,,,06/22/2021,
georgia,GA,,,1745,1729,4,1672,,,,3870,3771,93,27743,,06/22/2021,
hawaii,HI,,,270,262,,,,,19763,2220,2129,9,,,06/22/2021,
idaho,ID,6554,,486,482,0,250,214,12158,,4174,4154,6,5674,5440,06/22/2021,
illinois,IL,,279907,4629,4599,1,,4868,,656380,10914,10912,88,,18895,06/22/2021,
indiana,IN,,5734,1549,1522,4,,,,24011,3719,3655,51,,,06/22/2021,
iowa,IA,,,713,706,2,1310,1334,,49303,4899,4871,19,3765,5188,06/23/2021,43 staff and 1547 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine.
kansas,KS,,,1218,,6,1432,,,,6117,,16,6618,,06/24/2021,Vaccines as of 6/23
kentucky,KY,,,1114,,5,,,,,7909,,48,,,06/25/2021,
louisiana,LA,2486,,950,937,6,2220,2179,9349,,3209,3111,36,9735,9093,06/23/2021,
maine,ME,,,,,,,,,10508,197,,,,,06/25/2021,
maryland,MD,,108800,2347,2332,4,4048,4059,,82507,4482,4449,31,11263,9242,06/25/2021,64 staff were fully vaccinated with the one-shot Johnson & Johnson vaccine
massachusetts,MA,,,,,,,,,,,,,,,,
michigan,MI,,262378,4403,,6,,,42239,989860,26694,26104,141,12489,20460,06/24/2021,Vaccines as of 6/25. 8538 prisoners received the one-shot Johnson & Johnson vaccine and were fully vaccinated.
minnesota,MN,,,1137,947,0,,,,118653,4229,4219,12,1749,5008,06/22/2021,4227 prisoners have received the one-shot Johnson & Johnson vaccine. We remove 38 presumed positives from the recovered prisoners each week
mississippi,MS,,,,,,,,,,,,,,,,
missouri,MO,,13020,2654,2629,6,,,,89893,5899,5822,48,13984,,06/23/2021,
montana,MT,,,285,,0,,,,,1138,,6,,1090,06/25/2021,"336 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine.
"
nebraska,NE,,,,,,,,3679,6788,983,977,6,,,06/25/2021,
nevada,NV,,,1006,,3,,,,,4576,,,,,06/22/2021,
new hampshire,NH,,,186,186,0,,,,2101,460,457,3,,,06/22/2021,
new jersey,NJ,,,,,,,,,,,,,,,06/22/2021,
new mexico,NM,,,973,972,0,1699,1688,,55098,2990,2959,28,4619,4511,06/22/2021,
new york,NY,,,5173,5142,8,7550,7994,,103650,6600,6560,35,,,06/23/2021,
north carolina,NC,,170043,4008,3939,13,7020,6662,43169,148178,10106,7739,55,19191,17878,06/22/2021,
north dakota,ND,1313,25351,301,300,1,,,4089,37390,635,634,1,,,06/21/2021,
ohio,OH,,,4953,4932,11,,,,85854,9847,6820,135,,,06/22/2021,
oklahoma,OK,,17286,1074,,,,,,33132,7455,,56,,,06/22/2021,
oregon,OR,,,900,891,0,,,,29155,3617,3458,42,,,06/23/2021,
pennsylvania,PA,,,4982,,,3523,3510,,131801,11476,,139,3028,28719,06/21/2021,"The vaccination numbers now include prisoners who have been released after being vaccinated and thus may appear to be a larger growth than it should. 25,927 prisoners have been fully vaccinated with the one-shot Johnson & Johnson vaccine. The state is also no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount. Vaccines as of 6/22"
rhode island,RI,,,,,,,,,,,,,,,06/22/2021,
south carolina,SC,,,1151,1140,2,,,,42437,3373,3295,42,8360,8360,06/22/2021,
south dakota,SD,,426,191,191,0,,,,9574,2344,2336,7,2254,,06/22/2021,vaccines as of 6/21
tennessee,TN,,,1546,1523,5,,,,51711,6701,6655,42,,,06/23/2021,"We have been told vaccinations have begun in this system, but they have not released breakdowns for the number of people vaccinated for this week."
texas,TX,,250936,11800,11450,48,13365,12466,,574967,34716,33257,273,60034,55419,06/22/2021,"This week's prisoner deaths totals are based on data from the Texas Justice Initiative. Vaccine numbers as of 6/23.
223 staff and 6,026 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine."
utah,UT,,,,,,,,,,,,,,,06/22/2021,
vermont,VT,,,113,113,0,0,467,3215,24358,464,464,0,,874,06/21/2021,
virginia,VA,,22893,2621,2605,5,7010,5554,,125330,9112,8960,56,19162,17074,06/24/2021,
washington,WA,,,1297,,3,3742,,,,6254,6238,13,8528,,06/22/2021,
west virginia,WV,,14701,505,501,1,,812,,11039,1632,1612,12,,2497,06/25/2021,1694 prisoners fully vaccinated by the one-shot J&J vaccine. 
wisconsin,WI,,,2580,2578,,,,,123423,10989,10777,32,10793,12348,06/22/2021,2218 people were fully vaccinated with Johnson & Johnson's one-shot vaccine. Staff cases as of 6/21
wyoming,WY,,,,,,,,,,,,,,,06/22/2021,
federal,US,,,7008,6873,4,,19184,115362,,,,258,,80482,06/22/2021,
alabama,AL,,,1056,1046,3,865,,,16497,1661,1589,66,10671,,06/16/2021,
alaska,AK,,,332,,0,,,,38148,,,5,,,06/16/2021,
arizona,AZ,,,2785,2773,,,,47758,,12326,12246,64,,,06/15/2021,
arkansas,AR,,,,,4,,,,,11416,11350,52,,,06/16/2021,"We have been told vaccinations have begun in this system, but they have not released numbers of people vaccinated for this week. The number of recovered prisoners was updated. An earlier version included the numbers of deaths in the recovered count."
california,CA,,,17002,16941,28,35115,33060,128746,,49375,48460,224,70794,68805,06/15/2021,
colorado,CO,,,1948,,0,3618,,20591,230798,8960,,29,10541,,06/16/2021,
connecticut,CT,,86292,1690,1686,0,2697,,,138227,4546,4503,19,4828,,06/15/2021,
delaware,DE,,,,,,,,,,,,13,,,06/15/2021,
florida,FL,,,,,,,,,,,,,,,06/15/2021,
