,state,latest_week,cumulative_prisoner_cases,prisoner_cases_pct,prisoner_case_rate,cumulative_prisoner_deaths,prisoner_deaths_pct,prisoner_death_rate,cumulative_staff_cases,staff_cases_pct,staff_case_rate,cumulative_staff_deaths,staff_deaths_pct,staff_death_rate
0,alabama,2021-06-22,1662,0.07871554418869,1 in 13 prisoners,66,0.0031258880363739,1 in 320 prisoners,1058,0.279008438818565,1 in 4 staff,3,0.000791139240506329,1 in 1264 staff
1,alaska,2021-06-22,2440,0.510887772194305,1 in 2 prisoners,5,0.0010469011725293,1 in 955 prisoners,332,0.224172856178258,1 in 4 staff,0,0.0,0
2,arizona,2021-06-22,12328,0.291029272898961,2 in 7 prisoners,65,0.0015344664778092,1 in 652 prisoners,2787,0.306432105552501,1 in 3 staff,1,0.000109950522264981,1 in 9095 staff
3,arkansas,2021-06-22,11425,0.652782539138384,2 in 3 prisoners,52,0.0029710890183979,1 in 337 prisoners,813,0.148901098901099,1 in 7 staff,4,0.000732600732600733,1 in 1365 staff
4,california,2021-06-22,49395,0.419886262208961,2 in 5 prisoners,227,0.0019296321798043,1 in 518 prisoners,17002,0.267870365993919,1 in 4 staff,28,0.000441146350301713,1 in 2267 staff
5,colorado,2021-06-22,8960,0.509525163491612,1 in 2 prisoners,29,0.0016491327836224,1 in 606 prisoners,1959,0.309234411996843,1 in 3 staff,0,0.0,0
6,connecticut,2021-06-22,4549,0.370138323840521,1 in 3 prisoners,19,0.0015459723352319,1 in 647 prisoners,1690,0.271747869432385,1 in 4 staff,0,0.0,0
7,delaware,2021-06-22,2064,0.409361364537882,2 in 5 prisoners,13,0.0025783419278064,1 in 388 prisoners,770,,,1,,
8,federal,2021-06-22,49324,0.28662079866115,2 in 7 prisoners,258,0.0014992329505834,1 in 667 prisoners,7008,0.188757508013036,1 in 5 staff,4,0.000107738303660409,1 in 9282 staff
9,florida,2021-06-22,18072,0.19273921761017,1 in 5 prisoners,221,0.0023569813574506,1 in 424 prisoners,6066,0.222859032293618,1 in 4 staff,9,0.000330651383224953,1 in 3024 staff
10,georgia,2021-06-22,3870,0.070339337319835,1 in 14 prisoners,93,0.0016903251603991,1 in 592 prisoners,1745,,,4,,
11,hawaii,2021-06-22,2220,0.459057071960298,3 in 7 prisoners,9,0.0018610421836228,1 in 537 prisoners,270,0.128571428571429,1 in 8 staff,0,0.0,0
12,idaho,2021-06-22,4174,0.526953667466229,1 in 2 prisoners,6,0.000757480116146951,1 in 1320 prisoners,486,0.245206861755802,1 in 4 staff,0,0.0,0
13,illinois,2021-06-22,10914,0.295524085456662,1 in 3 prisoners,88,0.0023828220194416,1 in 420 prisoners,4629,0.362064919827923,1 in 3 staff,1,7.82166601486116e-05,1 in 12785 staff
