,state,abbreviation,month,as_of_date,pop
0,alabama,AL,march,03/31/2020,21114
1,alabama,AL,april,04/30/2020,20655
2,alabama,AL,june,06/30/2020,19752
3,alabama,AL,july,07/31/2020,19342
4,alabama,AL,aug,08/31/2020,18901
5,alabama,AL,sept,09/30/2020,18693
6,alabama,AL,oct,10/31/2020,18262
7,alabama,AL,nov,11/30/2020,17914
8,alabama,AL,dec,12/31/2020,17725
9,alabama,AL,jan_2021,01/31/2021,17454
10,alabama,AL,feb_2021,02/28/2021,17308
11,alabama,AL,march_2021,03/31/2021,17134
12,alabama,AL,may_2021,04/30/2021,17051
13,alabama,AL,april_2021,04/30/2021,17051
14,alaska,AK,march,03/15/2020,4776
15,alaska,AK,april,04/15/2020,4277
16,alaska,AK,june,06/16/2020,4216
17,alaska,AK,july,07/31/2020,4334
18,alaska,AK,aug,08/31/2020,4414
19,alaska,AK,sept,09/30/2020,4511
20,alaska,AK,oct,10/31/2020,4586
21,alaska,AK,nov,11/30/2020,4581
22,alaska,AK,dec,12/31/2020,4559
23,alaska,AK,jan_2021,01/31/2021,4523
24,alaska,AK,feb_2021,02/28/2021,4505
25,alaska,AK,march_2021,03/31/2021,4493
26,alaska,AK,april_2021,04/30/2021,4478
27,alaska,AK,may_2021,05/31/2021,4487
28,arizona,AZ,march,03/31/2020,42360
29,arizona,AZ,april,04/30/2020,41777
30,arizona,AZ,june,06/30/2020,40529
31,arizona,AZ,july,07/31/2020,39339
32,arizona,AZ,aug,08/31/2020,39153
33,arizona,AZ,sept,09/30/2020,38894
34,arizona,AZ,oct,10/31/2020,38495
35,arizona,AZ,nov,11/30/2020,38141
36,arizona,AZ,dec,12/31/2020,37731
37,arizona,AZ,jan_2021,01/31/2021,37396
38,arizona,AZ,feb_2021,02/28/2021,36975
39,arizona,AZ,march_2021,03/31/2021,36704
40,arizona,AZ,april_2021,04/30/2021,36569
41,arizona,AZ,may_2021,05/31/2021,36266
42,arkansas,AR,march,03/15/2020,17501
43,arkansas,AR,april,04/15/2020,17502
44,arkansas,AR,june,06/16/2020,16473
45,arkansas,AR,july,07/31/2020,15736
46,arkansas,AR,aug,08/31/2020,15521
47,arkansas,AR,sept,09/30/2020,15127
48,arkansas,AR,oct,10/30/2020,14883
49,arkansas,AR,nov,11/30/2020,14899
50,arkansas,AR,dec,12/31/2020,14812
51,arkansas,AR,jan_2021,02/01/2021,14462
52,arkansas,AR,feb_2021,02/26/2021,14630
53,arkansas,AR,march_2021,03/31/2021,15020
54,arkansas,AR,april_2021,04/30/2021,15530
55,arkansas,AR,may_2021,05/31/2021,15898
56,california,CA,march,03/11/2020,117639
57,california,CA,april,04/15/2020,113632
58,california,CA,june,06/17/2020,109800
59,california,CA,july,07/29/2020,102715
60,california,CA,aug,09/02/2020,97342
61,california,CA,sept,09/30/2020,94852
62,california,CA,oct,11/04/2020,94433
63,california,CA,nov,12/02/2020,94179
64,california,CA,dec,12/30/2020,92350
65,california,CA,jan_2021,01/27/2021,91341
66,california,CA,feb_2021,02/24/2021,91516
67,california,CA,march_2021,03/31/2021,92079
68,california,CA,april_2021,04/28/2021,92836
69,california,CA,may_2021,06/02/2021,95107
70,colorado,CO,march,03/31/2020,17585
