,state,abbreviation,month,as_of_date,pop,Notes
0,alabama,AL,march,2020-03-31,3686.0,
1,alabama,AL,july,2020-06-30,3792.0,
2,alaska,AK,march,2020-03-31,1456.0,
3,alaska,AK,july,2020-07-31,1481.0,
4,arizona,AZ,july,2020-08-01,9095.0,
5,arizona,AZ,march,2021-03-31,8735.0,
6,arkansas,AR,march,2020-03-31,5460.0,
7,arkansas,AR,july,2020-07-31,5024.0,
8,california,CA,march,2020-03-01,63471.0,
9,california,CA,july,2020-07-31,62606.0,
10,colorado,CO,march,2020-03-31,6335.0,
11,colorado,CO,july,2020-07-31,6281.0,
12,connecticut,CT,march,2020-03-01,6219.0,
13,connecticut,CT,july,2020-08-01,6155.0,
14,delaware,DE,march,,,
15,delaware,DE,july,,,
16,federal,US,march,2020-03-14,36486.0,
17,federal,US,july,2020-08-01,37127.0,
18,florida,FL,march,2020-03-31,27133.0,
19,florida,FL,july,2020-07-31,27219.0,
20,georgia,GA,july,,,
21,georgia,GA,march,,,
22,hawaii,HI,march,2020-03-31,2100.0,
23,hawaii,HI,july,2020-08-05,2100.0,
24,idaho,ID,march,2020-03-16,1977.0,
25,idaho,ID,july,2020-07-31,1982.0,
26,illinois,IL,march,2020-03-31,12785.0,
27,illinois,IL,july,2020-07-31,12503.0,
28,indiana,IN,march,2020-03-31,5582.0,
29,indiana,IN,july,2020-06-30,5357.0,
30,iowa,IA,march,2020-03-15,2482.0,
31,iowa,IA,july,2020-07-31,2396.0,
32,kansas,KS,march,2020-03-01,3276.0,
33,kansas,KS,july,2020-07-31,3153.0,
34,kentucky,KY,march,2020-03-31,2656.0,
35,kentucky,KY,july,2020-07-31,2614.0,
36,louisiana,LA,july,,,
37,louisiana,LA,march,,,
38,maine,ME,march,2020-02-29,1130.0,
39,maine,ME,july,2020-07-31,1124.0,
40,maryland,MD,march,2020-03-31,6038.0,
41,maryland,MD,july,2020-07-31,6211.0,
42,massachusetts,MA,march,2020-03-31,4607.0,
43,massachusetts,MA,july,2020-06-30,4573.0,
44,michigan,MI,march,2020-04-16,11963.0,
45,michigan,MI,july,2020-07-31,11862.0,
46,minnesota,MN,march,2020-04-22,4421.0,
47,minnesota,MN,july,2020-07-24,4340.0,
48,mississippi,MS,march,2019-09-30,2084.0,"We've adjusted this total to include staff at private prisons. The last known estimate of these employees was 350 for the 2018 fiscal year, so we've added that total to the DOC staff previously provided to us."
49,mississippi,MS,july,2020-06-30,2049.0,"We've adjusted this total to include staff at private prisons. The last known estimate of these employees was 350 for the 2018 fiscal year, so we've added that total to the DOC staff previously provided to us."
50,missouri,MO,march,2020-03-15,9653.0,
51,missouri,MO,july,2020-07-31,9488.0,
52,montana,MT,march,2020-03-23,1286.0,
53,montana,MT,july,2020-07-20,1308.0,
54,nebraska,NE,march,2020-03-31,2199.0,
55,nebraska,NE,july,2020-07-31,2132.0,
56,nevada,NV,march,2020-03-31,2638.0,
57,nevada,NV,july,2020-07-31,2648.0,
58,new hampshire,NH,march,2020-03-31,823.0,
59,new hampshire,NH,july,2020-06-30,830.0,
60,new jersey,NJ,march,2020-03-13,8027.0,
61,new jersey,NJ,july,,,
62,new mexico,NM,july,2020-07-31,2378.0,
63,new mexico,NM,march,,,
64,new york,NY,march,2020-03-31,28279.0,
65,new york,NY,july,2020-07-31,28019.0,
66,north carolina,NC,march,2020-03-31,14037.0,
67,north carolina,NC,july,2020-07-31,14053.0,
68,north dakota,ND,july,2019-07-31,916.0,
69,north dakota,ND,march,2020-03-31,910.0,
70,ohio,OH,march,2020-03-19,12192.0,
71,ohio,OH,july,2020-08-01,12204.0,
72,oklahoma,OK,march,2020-03-16,4317.0,
73,oklahoma,OK,july,2020-07-31,4187.0,
74,oregon,OR,march,2020-03-31,4644.0,
75,oregon,OR,july,2020-07-31,4611.0,
76,pennsylvania,PA,march,2020-03-31,16479.0,
77,pennsylvania,PA,july,2020-06-30,16321.0,
78,rhode island,RI,march,2020-03-15,1340.0,
79,rhode island,RI,july,2020-07-31,1383.0,
80,south carolina,SC,march,2020-03-15,4784.0,
81,south carolina,SC,july,2020-08-03,4755.0,
82,south dakota,SD,march,2020-03-31,702.0,
83,south dakota,SD,july,2020-08-01,695.0,
84,tennessee,TN,march,2020-03-15,5176.0,
85,tennessee,TN,july,2020-07-31,5543.0,
86,texas,TX,march,2020-03-15,36048.0,
87,texas,TX,july,2020-07-31,35528.0,
88,utah,UT,march,2020-03-31,2307.0,
89,utah,UT,july,2020-07-31,2342.0,
90,vermont,VT,march,2020-03-15,1003.0,
91,vermont,VT,july,2020-07-30,988.0,
92,virginia,VA,march,2020-03-31,11962.0,
93,virginia,VA,july,2021-07-31,11697.0,
94,washington,WA,march,2020-03-31,8806.0,
95,washington,WA,july,2020-07-31,8934.0,
96,west virginia,WV,march,2020-03-31,1849.0,
97,west virginia,WV,july,2021-07-31,1850.0,
98,wisconsin,WI,march,2020-03-28,9400.0,
99,wisconsin,WI,july,2021-08-01,9434.0,
100,wyoming,WY,march,2020-03-31,1018.0,
101,wyoming,WY,july,2021-07-31,1000.0,
