,state,abbreviation,staff_tests,staff_tests_with_multiples,total_staff_cases,staff_recovered,total_staff_deaths,staff_partial_dose,staff_full_dose,prisoner_tests,prisoner_tests_with_multiples,total_prisoner_cases,prisoners_recovered,total_prisoner_deaths,prisoners_partial_dose,prisoners_full_dose,as_of_date,notes
0,alabama,AL,,,1058.0,1048.0,3.0,871.0,,,16743.0,1662.0,1595.0,66.0,10811.0,,2021-06-25,
1,alaska,AK,,,332.0,,0.0,,,,38707.0,2440.0,,5.0,3460.0,3097.0,2021-06-22,vaccines as of June 23
2,arizona,AZ,,,2787.0,2778.0,,,,47899.0,,12328.0,12251.0,65.0,,,2021-06-22,
3,arkansas,AR,,,,,4.0,,,,,11425.0,11353.0,52.0,,,2021-06-23,"We have been told vaccinations have begun in this system, but they have not released numbers of people vaccinated for this week. "
4,california,CA,,,,,,35295.0,33474.0,129415.0,1602906.0,49395.0,48517.0,227.0,71317.0,69400.0,2021-06-22,
5,colorado,CO,,,1959.0,,0.0,3633.0,,20775.0,232231.0,8960.0,,29.0,10661.0,,2021-06-23,
6,connecticut,CT,,88079.0,1690.0,1690.0,0.0,2697.0,,,143190.0,4549.0,4524.0,19.0,4828.0,,2021-06-22,
7,delaware,DE,,,770.0,770.0,,1303.0,1130.0,,15841.0,,,13.0,2668.0,2058.0,2021-06-22,
8,florida,FL,,,,,,,,,,,,,,,2021-06-22,
9,georgia,GA,,,1745.0,1729.0,4.0,1672.0,,,,3870.0,3771.0,93.0,27743.0,,2021-06-22,
10,hawaii,HI,,,270.0,262.0,,,,,19763.0,2220.0,2129.0,9.0,,,2021-06-22,
11,idaho,ID,6554.0,,486.0,482.0,0.0,250.0,214.0,12158.0,,4174.0,4154.0,6.0,5674.0,5440.0,2021-06-22,
12,illinois,IL,,279907.0,4629.0,4599.0,1.0,,4868.0,,656380.0,10914.0,10912.0,88.0,,18895.0,2021-06-22,
13,indiana,IN,,5734.0,1549.0,1522.0,4.0,,,,24011.0,3719.0,3655.0,51.0,,,2021-06-22,
14,iowa,IA,,,713.0,706.0,2.0,1310.0,1334.0,,49303.0,4899.0,4871.0,19.0,3765.0,5188.0,2021-06-23,43 staff and 1547 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine.
15,kansas,KS,,,1218.0,,6.0,1432.0,,,,6117.0,,16.0,6618.0,,2021-06-24,Vaccines as of 6/23
16,kentucky,KY,,,1114.0,,5.0,,,,,7909.0,,48.0,,,2021-06-25,
17,louisiana,LA,2486.0,,950.0,937.0,6.0,2220.0,2179.0,9349.0,,3209.0,3111.0,36.0,9735.0,9093.0,2021-06-23,
18,maine,ME,,,,,,,,,10508.0,197.0,,,,,2021-06-25,
19,maryland,MD,,108800.0,2347.0,2332.0,4.0,4048.0,4059.0,,82507.0,4482.0,4449.0,31.0,11263.0,9242.0,2021-06-25,64 staff were fully vaccinated with the one-shot Johnson & Johnson vaccine
20,massachusetts,MA,,,,,,,,,,,,,,,,
21,michigan,MI,,262378.0,4403.0,,6.0,,,42239.0,989860.0,26694.0,26104.0,141.0,12489.0,20460.0,2021-06-24,Vaccines as of 6/25. 8538 prisoners received the one-shot Johnson & Johnson vaccine and were fully vaccinated.
22,minnesota,MN,,,1137.0,947.0,0.0,,,,118653.0,4229.0,4219.0,12.0,1749.0,5008.0,2021-06-22,4227 prisoners have received the one-shot Johnson & Johnson vaccine. We remove 38 presumed positives from the recovered prisoners each week
23,mississippi,MS,,,,,,,,,,,,,,,,
24,missouri,MO,,13020.0,2654.0,2629.0,6.0,,,,89893.0,5899.0,5822.0,48.0,13984.0,,2021-06-23,
25,montana,MT,,,285.0,,0.0,,,,,1138.0,,6.0,,1090.0,2021-06-25,"336 prisoners were fully vaccinated with the one-shot Johnson & Johnson vaccine.
"
26,nebraska,NE,,,,,,,,3679.0,6788.0,983.0,977.0,6.0,,,2021-06-25,
27,nevada,NV,,,1006.0,,3.0,,,,,4576.0,,,,,2021-06-22,
28,new hampshire,NH,,,186.0,186.0,0.0,,,,2101.0,460.0,457.0,3.0,,,2021-06-22,
29,new jersey,NJ,,,,,,,,,,,,,,,2021-06-22,
30,new mexico,NM,,,973.0,972.0,0.0,1699.0,1688.0,,55098.0,2990.0,2959.0,28.0,4619.0,4511.0,2021-06-22,
31,new york,NY,,,5173.0,5142.0,8.0,7550.0,7994.0,,103650.0,6600.0,6560.0,35.0,,,2021-06-23,
32,north carolina,NC,,170043.0,4008.0,3939.0,13.0,7020.0,6662.0,43169.0,148178.0,10106.0,7739.0,55.0,19191.0,17878.0,2021-06-22,
33,north dakota,ND,1313.0,25351.0,301.0,300.0,1.0,,,4089.0,37390.0,635.0,634.0,1.0,,,2021-06-21,
34,ohio,OH,,,4953.0,4932.0,11.0,,,,85854.0,9847.0,6820.0,135.0,,,2021-06-22,
35,oklahoma,OK,,17286.0,1074.0,,,,,,33132.0,7455.0,,56.0,,,2021-06-22,
36,oregon,OR,,,900.0,891.0,0.0,,,,29155.0,3617.0,3458.0,42.0,,,2021-06-23,
37,pennsylvania,PA,,,4982.0,,,3523.0,3510.0,,131801.0,11476.0,,139.0,3028.0,28719.0,2021-06-21,"The vaccination numbers now include prisoners who have been released after being vaccinated and thus may appear to be a larger growth than it should. 25,927 prisoners have been fully vaccinated with the one-shot Johnson & Johnson vaccine. The state is also no longer reporting cases in community corrections, so we are adding in the last known number of cases there, 309. As a result, these case numbers are almost certainly an undercount. Vaccines as of 6/22"
